url,lang
https://speechling.com/blog/20-most-common-french-idioms-to-get-you-talking-like-a-native/,fr
https://frenchtogether.com/french-idioms/,fr
https://vidalingua.com/blog/funny-french-idioms-explained-english,fr
https://www.theintrepidguide.com/japanese-expressions-and-idioms/,ja
https://en.wikipedia.org/wiki/Japanese_proverbs,ja
https://www.fluentu.com/blog/japanese/japanese-idioms-2/,ja
https://blogs.transparent.com/hindi/idioms-in-hindi/,hi
https://www.steamingpot.com/hindi-idioms-inspired-by-food/,hi
https://www.sscenglishbypradeepsir.in/2019/07/idioms-and-phrases-with-hindi-meanings.html,hi
https://www.milestoneloc.com/hindi-idioms-and-phrases-that-cant-be-translated/,hi
https://sites.google.com/site/muhavarehindi/,hi
https://www.freepressjournal.in/india/world-hindi-day-2021-famous-hindi-sayings-you-ought-to-know,hi
https://www.degruyter.com/document/doi/10.1515/phras-2017-0009/html?lang=en,hi
https://en.wikiquote.org/wiki/Hindi_proverbs,hi
http://www.indif.com/kids/hindi_proverbs/hindi_proverbs_01.aspx,hi
https://www.hindimeaning.com/2016/10/hindi-proverbs-idioms-in-english-and-hindi-muhavare-kahawat.html,hi
https://kotowaza.jitenon.jp/,ja
https://en.wiktionary.org/wiki/Appendix:Finnish_idioms,fi
