,freq
ça marche,18
être en train de,9
faire gaffe,6
en avoir marre,5
un coup de main,2
poser un lapin,1
être canon,1
être mal en point,1
en avoir rien à foutre,1
être dans la lune,0
ça coûte un bras,0
faire la grasse matinée,0
coup de foudre,0
être sage comme une image,0
boire comme un trou,0
poser un lapin à quelqu'un,0
il fait un froid de canard,0
on n'a pas élevé les cochons ensemble,0
appeler un chat un chat,0
revenons à nos moutons,0
être une poule mouillée,0
la moutarde monte au nez (à quelqu'un),0
tomber dans les pommes,0
se vendre comme des petits pains,0
recevoir une note salée,0
ce n'est pas tes oignons,0
pas ma tasse de thé,0
gagner des cacahuètes,0
aller se faire cuire un œuf,0
apporter de l'eau au moulin de quelqu'un,0
apprendre à un vieux singe à faire des grimaces,0
arriver comme un cheveu sur la soupe,0
avoir d’autres chats à fouetter,0
avoir le cafard,0
avoir des casseroles au cul,0
avoir la chair de poule,0
avoir un chat dans la gorge,0
avoir le cœur sur la main,0
avoir un coup de foudre,0
avoir deux mains gauches,0
avoir la gueule de bois,0
avoir la moutarde qui monte au nez,0
avoir du pain sur la planche,0
avoir la pêche / la patate / la frite,0
avoir un poil dans la main,0
avoir la tête dans le pâté/le cul,0
avoir les yeux plus gros que le ventre,0
battre le fer tant qu’il est chaud,0
casser les pieds à quelqu’un,0
casser du sucre sur le dos de quelqu’un,0
changer de crèmerie,0
chat échaudé craint l'eau froide,0
chercher midi à quartorze heures,0
chercher la petite bête,0
courir sur le haricot de quelqu’un,0
coûter les yeux de la tête,0
les doigts dans le nez,0
donner de la confiture aux cochons,0
donner sa langue au chat,0
en avoir gros sur le cœur/la patate,0
en avoir ras-le-bol,0
en faire tout un fromage/plat,0
enfoncer une porte ouverte,0
engueuler quelqu'un comme du poisson pourri,0
entrer quelque part comme dans un moulin,0
être le dindon de la farce,0
être au four et au moulin,0
être bien dans sa peau,0
être long(ue) à la détente,0
être à l’ouest/à la ramasse,0
ne faire qu’une bouchée de quelqu’un,0
faire une queue de poisson,0
faire l’andouille,0
faire un tabac,0
filer à l'anglaise,0
finir en queue de poisson,0
la goutte d’eau qui fait déborder le vase,0
l’habit ne fait pas le moine,0
il faut souffrir pour être belle,0
il n'y a pas un chat,0
jeter l’argent par les fenêtres,0
jeter le bébé avec l'eau du bain,0
jeter l’éponge,0
joindre les deux bouts,0
la fin des haricots,0
les carottes sont cuites,0
mener quelqu’un en bateau,0
mettre la charrue avant les boeufs,0
mettre son grain de sel,0
ne pas être dans son assiette,0
ne pas y aller avec le dos de la cuillère,0
ne pas avoir sa langue dans sa poche,0
ne pas avoir la lumière à tous les étages,0
ne pas casser trois pattes à un canard,0
ne pas être sorti de l’auberge,0
pas avoir de quoi fouetter un chat,0
passer du coq à l’âne,0
passer l'arme à gauche,0
péter un câble,0
"petit à petit, l'oiseau fait son nid",0
pipi de chat,0
plumer quelqu'un,0
prendre ses jambes à son cou,0
presser quelqu'un comme un citron,0
quand les poules auront des dents,0
"quand le chat n'est pas là, les souris dansent.",0
à quelque chose malheur est bon,0
qui vole un œuf vole un bœuf,0
raconter des salades,0
ramener sa fraise,0
rendre l'âme,0
revenir à ses moutons,0
rouler quelqu’un dans la farine,0
se jeter dans la gueule du loup,0
se mettre sur son 31,0
se noyer dans un verre d'eau,0
s’envoyer en l’air,0
se serrer la ceinture,0
s’occuper de ses oignons,0
un tien vaut mieux que deux tu l’auras,0
tomber dans le panneau,0
tourner au vinaigre,0
traîner quelqu’un dans la boue,0
vendre la peau de l’ours avant de l’avoir tué,0
se faire larguer,0
se prendre un râteau,0
poser un lapin à quelqu’un,0
avoir la pêche,0
avoir la banane,0
avoir la patate,0
avoir la dalle,0
crever la dalle,0
prendre la tête,0
être à l’ouest,0
être rouge comme une tomate,0
être rouge comme une écrevisse,0
être rouge comme une pivoine,0
être crevé,0
en avoir ras le bol,0
avoir la flemme,0
avoir une peur bleue de,0
être au taquet,0
avoir un qi d’huître,0
manger sur le pouce,0
boire un coup,0
un froid de canard,0
pleuvoir des cordes,0
une bouchée de pain,0
blanchir de l’argent,0
ne pas y aller de main morte,0
coûter les yeux un bras,0
s’en mettre plein les poches,0
rouler sur l’or,0
jeter un coup d’oeil,0
aller droit au but,0
faire le pont,0
faire la sourde oreille,0
tourner la page,0
en faire tout un fromage,0
mettre du piment dans sa vie,0
pleurer comme une madeleine,0
en avoir rien à cirer,0
en avoir rien à faire,0
faire la tête,0
en prendre de la graine,0
prendre ses cliques et ses claques,0
prendre quelque chose au pied de la lettre,0
partir en fumée,0
prendre son courage à deux mains,0
prendre quelqu’un la main dans le sac,0
n’y voir que du feu,0
être sur son 31,0
tenir au courant,0
sur un coup de tête,0
quelque chose qui cloche,0
ah la vache,0
tout craché,0
c’est la fin des haricots,0
ne pas être de la tarte,0
sentir le sapin,0
